,pairID,premise,hypothesis,propositional_logic_rule
2058,6213858694.jpg#2r1n,Two roller derby competitors skate quickly ahead of teammates.,Either two roller derby competitors skate quickly ahead of teammates or no two roller derby competitors skate quickly ahead of teammates. ,Disjunction
2059,6213858694.jpg#2r1n,Two roller derby competitors skate quickly ahead of teammates.,Both two roller derby competitors skate quickly ahead of teammates and no two roller derby competitors skate quickly ahead of teammates. ,Conjunction
2060,6213858694.jpg#2r1e,Two roller derby competitors are near their teammates and a referee.,Either two roller derby competitors are near their teammates and a referee or no two roller derby competitors are near their teammates and a referee. ,Disjunction
2061,6213858694.jpg#2r1e,Two roller derby competitors are near their teammates and a referee.,Both two roller derby competitors are near their teammates and a referee and no two roller derby competitors are near their teammates and a referee. ,Conjunction
2062,3944169186.jpg#4r1e,Girls are playing basketball.,Either girls are playing basketball or no girls are playing basketball. ,Disjunction
2063,3944169186.jpg#4r1e,Girls are playing basketball.,Both girls are playing basketball and no girls are playing basketball. ,Conjunction
2064,134857559.jpg#1r1e,A band is playing a concert.,Either a band is playing a concert or no band is playing a concert. ,Disjunction
2065,134857559.jpg#1r1e,A band is playing a concert.,Both a band is playing a concert and no band is playing a concert. ,Conjunction
2066,445348023.jpg#4r1e,A man is on top of a building.,Either a man is on top of a building or no man is on top of a building. ,Disjunction
2067,445348023.jpg#4r1e,A man is on top of a building.,Both a man is on top of a building and no man is on top of a building. ,Conjunction
2068,2189995738.jpg#0r1e,Children are swimming.,Either children are swimming or no children are swimming. ,Disjunction
2069,2189995738.jpg#0r1e,Children are swimming.,Both children are swimming and no children are swimming. ,Conjunction
2070,2132295466.jpg#1r1e,A guy is next to a dog while holding some musical instruments.,Either a guy is next to a dog while holding some musical instruments or no guy is next to a dog while holding some musical instruments. ,Disjunction
2071,2132295466.jpg#1r1e,A guy is next to a dog while holding some musical instruments.,Both a guy is next to a dog while holding some musical instruments and no guy is next to a dog while holding some musical instruments. ,Conjunction
2072,2226343167.jpg#0r1e,A man and woman walk down a city street.,Either a man and woman walk down a city street or no man and woman walk down a city street. ,Disjunction
2073,2226343167.jpg#0r1e,A man and woman walk down a city street.,Both a man and woman walk down a city street and no man and woman walk down a city street. ,Conjunction
2074,1462460316.jpg#3r1e,A woman is singing on stage.,Either a woman is singing on stage or no woman is singing on stage. ,Disjunction
2075,1462460316.jpg#3r1e,A woman is singing on stage.,Both a woman is singing on stage and no woman is singing on stage. ,Conjunction
2076,1460500597.jpg#4r1e,A man sits.,Either a man sits or no man sits. ,Disjunction
2077,1460500597.jpg#4r1e,A man sits.,Both a man sits and no man sits. ,Conjunction
2078,5845214651.jpg#1r1e,A man has a skateboard.,Either a man has a skateboard or no man has a skateboard. ,Disjunction
2079,5845214651.jpg#1r1e,A man has a skateboard.,Both a man has a skateboard and no man has a skateboard. ,Conjunction
2080,4917929879.jpg#1r1e,A man plays guitar.,Either a man plays guitar or no man plays guitar. ,Disjunction
2081,4917929879.jpg#1r1e,A man plays guitar.,Both a man plays guitar and no man plays guitar. ,Conjunction
2082,4093896865.jpg#0r1e,A man is taking pictures.,Either a man is taking pictures or no man is taking pictures. ,Disjunction
2083,4093896865.jpg#0r1e,A man is taking pictures.,Both a man is taking pictures and no man is taking pictures. ,Conjunction
2084,3470129475.jpg#4r1e,A boy is outdoors.,Either a boy is outdoors or no boy is outdoors. ,Disjunction
2085,3470129475.jpg#4r1e,A boy is outdoors.,Both a boy is outdoors and no boy is outdoors. ,Conjunction
2086,7074956741.jpg#2r1e,A group of people are on stage.,Either a group of people are on stage or no group of people are on stage. ,Disjunction
2087,7074956741.jpg#2r1e,A group of people are on stage.,Both a group of people are on stage and no group of people are on stage. ,Conjunction
2088,3025315215.jpg#0r1e,A brown dog walking out of a tunnel.,Either a brown dog walking out of a tunnel or no brown dog walking out of a tunnel. ,Disjunction
2089,3025315215.jpg#0r1e,A brown dog walking out of a tunnel.,Both a brown dog walking out of a tunnel and no brown dog walking out of a tunnel. ,Conjunction
2090,7245395128.jpg#0r1e,Five people are standing by a staircase.,Either five people are standing by a staircase or no people are standing by a staircase. ,Disjunction
2091,7245395128.jpg#0r1e,Five people are standing by a staircase.,Both five people are standing by a staircase and no people are standing by a staircase. ,Conjunction
2092,7149127777.jpg#4r1e,The man is pole vaulting.,Either the man is pole vaulting or the man is not pole vaulting. ,Disjunction
2093,7149127777.jpg#4r1e,The man is pole vaulting.,Both the man is pole vaulting and the man is not pole vaulting. ,Conjunction
2094,533483374.jpg#3r1e,A dog is on the beach.,Either a dog is on the beach or no dog is on the beach. ,Disjunction
2095,533483374.jpg#3r1e,A dog is on the beach.,Both a dog is on the beach and no dog is on the beach. ,Conjunction
2096,202174998.jpg#1r1e,People in blue hard hats watch as a man in a white shirt and shorts rock climb.,Either people in blue hard hats watch as a man in a white shirt and shorts rock climb or no people in blue hard hats watch as a man in a white shirt and shorts rock climb. ,Disjunction
2097,202174998.jpg#1r1e,People in blue hard hats watch as a man in a white shirt and shorts rock climb.,Both people in blue hard hats watch as a man in a white shirt and shorts rock climb and no people in blue hard hats watch as a man in a white shirt and shorts rock climb. ,Conjunction
2098,3963243135.jpg#1r1e,A man watering plants.,Either a man watering plants or no man is watering plants. ,Disjunction
2099,3963243135.jpg#1r1e,A man watering plants.,Both a man watering plants and no man is watering plants. ,Conjunction
2100,4636392873.jpg#2r1e,A guy is cheering near some children.,Either a guy is cheering near some children or no guy is cheering near some children. ,Disjunction
2101,4636392873.jpg#2r1e,A guy is cheering near some children.,Both a guy is cheering near some children and no guy is cheering near some children. ,Conjunction
2102,3421480658.jpg#1r1e,A girl is showing affection towards a cat.,Either a girl is showing affection towards a cat or no girl is showing affection towards a cat. ,Disjunction
2103,3421480658.jpg#1r1e,A girl is showing affection towards a cat.,Both a girl is showing affection towards a cat and no girl is showing affection towards a cat. ,Conjunction
2104,369244499.jpg#4r1e,The mans hands are on the keys of a piano.,Either the mans hands are on the keys of a piano or the man's hands are not on the keys of a piano. ,Disjunction
2105,369244499.jpg#4r1e,The mans hands are on the keys of a piano.,Both the mans hands are on the keys of a piano and the man's hands are not on the keys of a piano. ,Conjunction
2106,6792342642.jpg#4r1e,The child is posing for the photographer.,Either the child is posing for the photographer or the child is not posing for the photographer. ,Disjunction
2107,6792342642.jpg#4r1e,The child is posing for the photographer.,Both the child is posing for the photographer and the child is not posing for the photographer. ,Conjunction
2108,369244499.jpg#1r1e,A man plays a piano.,Either a man plays a piano or no man plays a piano. ,Disjunction
2109,369244499.jpg#1r1e,A man plays a piano.,Both a man plays a piano and no man plays a piano. ,Conjunction
2110,3136688093.jpg#2r1e,The fireworks were shot into the sky.,Either the fireworks were shot into the sky or the fireworks were not shot into the sky. ,Disjunction
2111,3136688093.jpg#2r1e,The fireworks were shot into the sky.,Both the fireworks were shot into the sky and the fireworks were not shot into the sky. ,Conjunction
2112,392168458.jpg#0r1e,A boy is wearing a jacket.,Either a boy is wearing a jacket or no boy is wearing a jacket. ,Disjunction
2113,392168458.jpg#0r1e,A boy is wearing a jacket.,Both a boy is wearing a jacket and no boy is wearing a jacket. ,Conjunction
2114,7638344872.jpg#0r1e,Two men sit on innertubes in the middle of a body of water.,Either two men sit on innertubes in the middle of a body of water or no two men sit on innertubes in the middle of a body of water. ,Disjunction
2115,7638344872.jpg#0r1e,Two men sit on innertubes in the middle of a body of water.,Both two men sit on innertubes in the middle of a body of water and no two men sit on innertubes in the middle of a body of water. ,Conjunction
2116,4786291701.jpg#2r1e,Two men are doing hard labor.,Either two men are doing hard labor or no two men are doing hard labor. ,Disjunction
2117,4786291701.jpg#2r1e,Two men are doing hard labor.,Both two men are doing hard labor and no two men are doing hard labor. ,Conjunction
2118,3578318751.jpg#0r1e,A large audience is seated inside together.,Either a large audience is seated inside together or no large audience is seated inside together. ,Disjunction
2119,3578318751.jpg#0r1e,A large audience is seated inside together.,Both a large audience is seated inside together and no large audience is seated inside together. ,Conjunction
2120,4686530812.jpg#1r1e,A man is touching other people in a crowd.,Either a man is touching other people in a crowd or no man is touching other people in a crowd. ,Disjunction
2121,4686530812.jpg#1r1e,A man is touching other people in a crowd.,Both a man is touching other people in a crowd and no man is touching other people in a crowd. ,Conjunction
2122,447800028.jpg#3r1e,A dog is running.,Either a dog is running or no dog is running. ,Disjunction
2123,447800028.jpg#3r1e,A dog is running.,Both a dog is running and no dog is running. ,Conjunction
2124,4638560669.jpg#0r1e,Two boys are talking in the middle of a street.,Either two boys are talking in the middle of a street or no two boys are talking in the middle of a street. ,Disjunction
2125,4638560669.jpg#0r1e,Two boys are talking in the middle of a street.,Both two boys are talking in the middle of a street and no two boys are talking in the middle of a street. ,Conjunction
2126,3816107544.jpg#0r1e,Two men are in a car.,Either two men are in a car or no two men are in a car. ,Disjunction
2127,3816107544.jpg#0r1e,Two men are in a car.,Both two men are in a car and no two men are in a car. ,Conjunction
2128,3336831820.jpg#1r1e,Many people are having a conversation.,Either many people are having a conversation or not many people are having a conversation. ,Disjunction
2129,3336831820.jpg#1r1e,Many people are having a conversation.,Both many people are having a conversation and not many people are having a conversation. ,Conjunction
2130,4902026887.jpg#2r1e,A person with glasses.,Either a person with glasses or no person with glasses. ,Disjunction
2131,4902026887.jpg#2r1e,A person with glasses.,Both a person with glasses and no person with glasses. ,Conjunction
2132,2230813326.jpg#1r1e,The people are walking down the street.,Either the people are walking down the street or no people are walking down the street. ,Disjunction
2133,2230813326.jpg#1r1e,The people are walking down the street.,Both the people are walking down the street and no people are walking down the street. ,Conjunction
2134,3439414478.jpg#4r1e,There is an animal jumping.,Either there is an animal jumping or there is no animal jumping. ,Disjunction
2135,3439414478.jpg#4r1e,There is an animal jumping.,Both there is an animal jumping and there is no animal jumping. ,Conjunction
2136,485296499.jpg#2r1e,There are people looking at books.,Either there are people looking at books or there are no people looking at books. ,Disjunction
2137,485296499.jpg#2r1e,There are people looking at books.,Both there are people looking at books and there are no people looking at books. ,Conjunction
2138,7513836082.jpg#2r1e,Two people ride a lawn mower outside.,Either two people ride a lawn mower outside or no two people ride a lawn mower outside. ,Disjunction
2139,7513836082.jpg#2r1e,Two people ride a lawn mower outside.,Both two people ride a lawn mower outside and no two people ride a lawn mower outside. ,Conjunction
2140,327944239.jpg#0r1e,A man without a shirt is on the water.,Either a man without a shirt is on the water or no man without a shirt is on the water. ,Disjunction
2141,327944239.jpg#0r1e,A man without a shirt is on the water.,Both a man without a shirt is on the water and no man without a shirt is on the water. ,Conjunction
2142,2366166967.jpg#4r1n,Some boys are running behind a ball.,Either some boys are running behind a ball or no boys are running behind a ball. ,Disjunction
2143,2366166967.jpg#4r1n,Some boys are running behind a ball.,Both some boys are running behind a ball and no boys are running behind a ball. ,Conjunction
2144,2847633529.jpg#0r1e,The couple is sitting near water.,Either the couple is sitting near water or the couple is not sitting near water. ,Disjunction
2145,2847633529.jpg#0r1e,The couple is sitting near water.,Both the couple is sitting near water and the couple is not sitting near water. ,Conjunction
2146,4138802340.jpg#2r1e,The referee and players are getting ready to faceoff.,Either the referee and players are getting ready to faceoff or the referee and players are not getting ready to faceoff. ,Disjunction
2147,4138802340.jpg#2r1e,The referee and players are getting ready to faceoff.,Both the referee and players are getting ready to faceoff and the referee and players are not getting ready to faceoff. ,Conjunction
2148,4950889937.jpg#0r1e,A woman is walking down a busy street.,Either a woman is walking down a busy street or no woman is walking down a busy street. ,Disjunction
2149,4950889937.jpg#0r1e,A woman is walking down a busy street.,Both a woman is walking down a busy street and no woman is walking down a busy street. ,Conjunction
2150,3476902807.jpg#0r1e,A man in green shirt.,Either a man in green shirt or no man in green shirt. ,Disjunction
2151,3476902807.jpg#0r1e,A man in green shirt.,Both a man in green shirt and no man in green shirt. ,Conjunction
2152,2394275528.jpg#0r1e,A girl is swinging rather high on a swing with blue ropes.,Either a girl is swinging rather high on a swing with blue ropes or no girl is swinging rather high on a swing with blue ropes. ,Disjunction
2153,2394275528.jpg#0r1e,A girl is swinging rather high on a swing with blue ropes.,Both a girl is swinging rather high on a swing with blue ropes and no girl is swinging rather high on a swing with blue ropes. ,Conjunction
2154,4679648220.jpg#1r1n,A girl drinks a soda on the street.,Either a girl drinks a soda on the street or no girl drinks a soda on the street. ,Disjunction
2155,4679648220.jpg#1r1n,A girl drinks a soda on the street.,Both a girl drinks a soda on the street and no girl drinks a soda on the street. ,Conjunction
2156,4850764733.jpg#2r1e,There are two woman in this picture and they are both outside.,Either there are two woman in this picture and they are both outside or there are not two woman in this picture and they are not both outside. ,Disjunction
2157,4850764733.jpg#2r1e,There are two woman in this picture and they are both outside.,Both there are two woman in this picture and they are both outside and there are not two woman in this picture and they are not both outside. ,Conjunction
2158,1229536824.jpg#4r1e,The people are dancing.,Either the people are dancing or the people are not dancing. ,Disjunction
2159,1229536824.jpg#4r1e,The people are dancing.,Both the people are dancing and the people are not dancing. ,Conjunction
2160,1229536824.jpg#1r1e,The people are in costume and playing music.,Either the people are in costume and playing music or the people are not in costume and not playing music. ,Disjunction
2161,1229536824.jpg#1r1e,The people are in costume and playing music.,Both the people are in costume and playing music and the people are not in costume and not playing music. ,Conjunction
2162,293575531.jpg#4r1e,People prepare to play games.,Either people prepare to play games or nobody prepares to play games. ,Disjunction
2163,293575531.jpg#4r1e,People prepare to play games.,Both people prepare to play games and nobody prepares to play games. ,Conjunction
2164,1424237335.jpg#4r1e,Two girls on a tube.,Either two girls on a tube or no two girls are on a tube. ,Disjunction
2165,1424237335.jpg#4r1e,Two girls on a tube.,Both two girls on a tube and no two girls are on a tube. ,Conjunction
2166,1424237335.jpg#4r1n,Two girls playing on a tube.,Either two girls playing on a tube or no two girls are playing on a tube. ,Disjunction
2167,1424237335.jpg#4r1n,Two girls playing on a tube.,Both two girls playing on a tube and no two girls are playing on a tube. ,Conjunction
2168,2286624900.jpg#3r1e,People are on a couch.,Either people are on a couch or no one is on a couch. ,Disjunction
2169,2286624900.jpg#3r1e,People are on a couch.,Both people are on a couch and no one is on a couch. ,Conjunction
2170,4486440297.jpg#1r1e,They pass eachother.,Either they pass eachother or they don't pass eachother. ,Disjunction
2171,4486440297.jpg#1r1e,They pass eachother.,Both they pass eachother and they don't pass eachother. ,Conjunction
2172,2521062020.jpg#3r1e,There is a man holding a rop.,Either there is a man holding a rop or there is no man holding a rope. ,Disjunction
2173,2521062020.jpg#3r1e,There is a man holding a rop.,Both there is a man holding a rop and there is no man holding a rope. ,Conjunction
2174,4313861353.jpg#1r1e,They are not looking in the same direction.,Either they are not looking in the same direction or they are looking in the same direction. ,Disjunction
2175,4313861353.jpg#1r1e,They are not looking in the same direction.,Both they are not looking in the same direction and they are looking in the same direction. ,Conjunction
2176,4799506211.jpg#3r1e,Two girls on a boat.,Either two girls on a boat or no two girls are on a boat. ,Disjunction
2177,4799506211.jpg#3r1e,Two girls on a boat.,Both two girls on a boat and no two girls are on a boat. ,Conjunction
2178,6022784716.jpg#4r1e,Two scuba divers are underwater.,Either two scuba divers are underwater or no two scuba divers are underwater. ,Disjunction
2179,6022784716.jpg#4r1e,Two scuba divers are underwater.,Both two scuba divers are underwater and no two scuba divers are underwater. ,Conjunction
2180,3856178809.jpg#2r1e,The people work in the medical field.,Either the people work in the medical field or not all people work in the medical field. ,Disjunction
2181,3856178809.jpg#2r1e,The people work in the medical field.,Both the people work in the medical field and not all people work in the medical field. ,Conjunction
2182,4556897985.jpg#4r1e,People walk down a sidewalk.,Either people walk down a sidewalk or nobody walks down a sidewalk. ,Disjunction
2183,4556897985.jpg#4r1e,People walk down a sidewalk.,Both people walk down a sidewalk and nobody walks down a sidewalk. ,Conjunction
2184,44904567.jpg#1r1e,There are multiple people present.,Either there are multiple people present or no one is present. ,Disjunction
2185,44904567.jpg#1r1e,There are multiple people present.,Both there are multiple people present and no one is present. ,Conjunction
2186,44904567.jpg#4r1e,A guy is cutting another mans hair.,Either a guy is cutting another mans hair or no guy is cutting another man's hair. ,Disjunction
2187,44904567.jpg#4r1e,A guy is cutting another mans hair.,Both a guy is cutting another mans hair and no guy is cutting another man's hair. ,Conjunction
2188,3699522388.jpg#2r1e,A person waterskiing in a river with a wall in the background.,Either a person waterskiing in a river with a wall in the background or no person is waterskiing in a river with a wall in the background. ,Disjunction
2189,3699522388.jpg#2r1e,A person waterskiing in a river with a wall in the background.,Both a person waterskiing in a river with a wall in the background and no person is waterskiing in a river with a wall in the background. ,Conjunction
2190,4395957776.jpg#1r1e,The children are playing together.,Either the children are playing together or the children are not playing together. ,Disjunction
2191,4395957776.jpg#1r1e,The children are playing together.,Both the children are playing together and the children are not playing together. ,Conjunction
2192,2860872588.jpg#2r1e,The dogs are fighting.,Either the dogs are fighting or no dogs are fighting. ,Disjunction
2193,2860872588.jpg#2r1e,The dogs are fighting.,Both the dogs are fighting and no dogs are fighting. ,Conjunction
2194,3497236690.jpg#4r1e,The person is hard to see.,Either the person is hard to see or the person is not hard to see. ,Disjunction
2195,3497236690.jpg#4r1e,The person is hard to see.,Both the person is hard to see and the person is not hard to see. ,Conjunction
2196,4511764901.jpg#2r1e,A woman walks to an escalator.,Either a woman walks to an escalator or no woman walks to an escalator. ,Disjunction
2197,4511764901.jpg#2r1e,A woman walks to an escalator.,Both a woman walks to an escalator and no woman walks to an escalator. ,Conjunction
2198,275170445.jpg#2r1e,Asian people sitting next to each other.,Either asian people sitting next to each other or no asian people are sitting next to each other. ,Disjunction
2199,275170445.jpg#2r1e,Asian people sitting next to each other.,Both asian people sitting next to each other and no asian people are sitting next to each other. ,Conjunction
2200,4091782118.jpg#1r1e,The man is holding an object.,Either the man is holding an object or the man is not holding an object. ,Disjunction
2201,4091782118.jpg#1r1e,The man is holding an object.,Both the man is holding an object and the man is not holding an object. ,Conjunction
2202,152881593.jpg#3r1e,A person is in a classroom teaching.,Either a person is in a classroom teaching or no person is in a classroom teaching. ,Disjunction
2203,152881593.jpg#3r1e,A person is in a classroom teaching.,Both a person is in a classroom teaching and no person is in a classroom teaching. ,Conjunction
2204,1957701886.jpg#4r1e,The woman is using her cellphone.,Either the woman is using her cellphone or the woman is not using her cellphone. ,Disjunction
2205,1957701886.jpg#4r1e,The woman is using her cellphone.,Both the woman is using her cellphone and the woman is not using her cellphone. ,Conjunction
2206,3419555245.jpg#0r1e,Three men talk while their fourth takes a shot.,Either three men talk while their fourth takes a shot or no four men talk while their fourth takes a shot. ,Disjunction
2207,3419555245.jpg#0r1e,Three men talk while their fourth takes a shot.,Both three men talk while their fourth takes a shot and no four men talk while their fourth takes a shot. ,Conjunction
2208,19469520.jpg#1r1e,A group of cyclists racing.,Either a group of cyclists racing or no group of cyclists are racing. ,Disjunction
2209,19469520.jpg#1r1e,A group of cyclists racing.,Both a group of cyclists racing and no group of cyclists are racing. ,Conjunction
2210,3867308040.jpg#0r1e,People are gathered by the water.,Either people are gathered by the water or nobody is gathered by the water. ,Disjunction
2211,3867308040.jpg#0r1e,People are gathered by the water.,Both people are gathered by the water and nobody is gathered by the water. ,Conjunction
2212,7319142966.jpg#3r1e,A motorist is riding his bike.,Either a motorist is riding his bike or no motorist is riding his bike. ,Disjunction
2213,7319142966.jpg#3r1e,A motorist is riding his bike.,Both a motorist is riding his bike and no motorist is riding his bike. ,Conjunction
2214,7319142966.jpg#0r1e,The person is riding a motorcycle.,Either the person is riding a motorcycle or the person is not riding a motorcycle. ,Disjunction
2215,7319142966.jpg#0r1e,The person is riding a motorcycle.,Both the person is riding a motorcycle and the person is not riding a motorcycle. ,Conjunction
2216,7319142966.jpg#0r1n,The motorcyclist is in the air.,Either the motorcyclist is in the air or the motorcyclist is not in the air. ,Disjunction
2217,7319142966.jpg#0r1n,The motorcyclist is in the air.,Both the motorcyclist is in the air and the motorcyclist is not in the air. ,Conjunction
2218,2729147877.jpg#1r1e,The child is upside down.,Either the child is upside down or the child is not upside down. ,Disjunction
2219,2729147877.jpg#1r1e,The child is upside down.,Both the child is upside down and the child is not upside down. ,Conjunction
2220,3723690961.jpg#2r1e,There is a man wearing a pink shirt.,Either there is a man wearing a pink shirt or there is no man wearing a pink shirt. ,Disjunction
2221,3723690961.jpg#2r1e,There is a man wearing a pink shirt.,Both there is a man wearing a pink shirt and there is no man wearing a pink shirt. ,Conjunction
2222,4748496940.jpg#4r1e,Two men read the paper.,Either two men read the paper or no two men read the paper. ,Disjunction
2223,4748496940.jpg#4r1e,Two men read the paper.,Both two men read the paper and no two men read the paper. ,Conjunction
2224,1260501563.jpg#2r1e,Three dogs together.,Either three dogs together or no three dogs together. ,Disjunction
2225,1260501563.jpg#2r1e,Three dogs together.,Both three dogs together and no three dogs together. ,Conjunction
2226,4963263177.jpg#4r1e,The boy is swinging a bat.,Either the boy is swinging a bat or the boy is not swinging a bat. ,Disjunction
2227,4963263177.jpg#4r1e,The boy is swinging a bat.,Both the boy is swinging a bat and the boy is not swinging a bat. ,Conjunction
2228,4963263177.jpg#0r1e,The man is swinging.,Either the man is swinging or the man is not swinging. ,Disjunction
2229,4963263177.jpg#0r1e,The man is swinging.,Both the man is swinging and the man is not swinging. ,Conjunction
2230,260148263.jpg#1r1e,A clad in denim person works is working on a bridge outdoors.,Either a clad in denim person works is working on a bridge outdoors or no clad in denim person is working on a bridge outdoors. ,Disjunction
2231,260148263.jpg#1r1e,A clad in denim person works is working on a bridge outdoors.,Both a clad in denim person works is working on a bridge outdoors and no clad in denim person is working on a bridge outdoors. ,Conjunction
2232,2909982588.jpg#0r1e,The man is near food.,Either the man is near food or the man is not near food. ,Disjunction
2233,2909982588.jpg#0r1e,The man is near food.,Both the man is near food and the man is not near food. ,Conjunction
2234,1486399999.jpg#0r1e,Someone is sawing.,Either someone is sawing or nobody is sawing. ,Disjunction
2235,1486399999.jpg#0r1e,Someone is sawing.,Both someone is sawing and nobody is sawing. ,Conjunction
2236,2984961568.jpg#0r1e,People wait to get on a double decker bus at night.,Either people wait to get on a double decker bus at night or nobody waits to get on a double decker bus at night. ,Disjunction
2237,2984961568.jpg#0r1e,People wait to get on a double decker bus at night.,Both people wait to get on a double decker bus at night and nobody waits to get on a double decker bus at night. ,Conjunction
2238,2984961568.jpg#2r1e,People are in line.,Either people are in line or nobody is in line. ,Disjunction
2239,2984961568.jpg#2r1e,People are in line.,Both people are in line and nobody is in line. ,Conjunction
2240,4821121646.jpg#2r1e,A rooster near a vendor.,Either a rooster near a vendor or no rooster is near a vendor. ,Disjunction
2241,4821121646.jpg#2r1e,A rooster near a vendor.,Both a rooster near a vendor and no rooster is near a vendor. ,Conjunction
2242,237212706.jpg#4r1e,A man looks out his window.,Either a man looks out his window or no man looks out his window. ,Disjunction
2243,237212706.jpg#4r1e,A man looks out his window.,Both a man looks out his window and no man looks out his window. ,Conjunction
2244,708860480.jpg#0r1e,The water in the pool is being splashed.,Either the water in the pool is being splashed or the water in the pool is not being splashed. ,Disjunction
2245,708860480.jpg#0r1e,The water in the pool is being splashed.,Both the water in the pool is being splashed and the water in the pool is not being splashed. ,Conjunction
2246,708860480.jpg#2r1e,A boy is playing in the swimming pool.,Either a boy is playing in the swimming pool or no boy is playing in the swimming pool. ,Disjunction
2247,708860480.jpg#2r1e,A boy is playing in the swimming pool.,Both a boy is playing in the swimming pool and no boy is playing in the swimming pool. ,Conjunction
2248,4641889254.jpg#1r1e,A person is walking.,Either a person is walking or no person is walking. ,Disjunction
2249,4641889254.jpg#1r1e,A person is walking.,Both a person is walking and no person is walking. ,Conjunction
2250,4255821890.jpg#0r1e,The baby is smiling.,Either the baby is smiling or the baby is not smiling. ,Disjunction
2251,4255821890.jpg#0r1e,The baby is smiling.,Both the baby is smiling and the baby is not smiling. ,Conjunction
2252,6251875212.jpg#0r1e,An bike rider jumping ramps on a sunny day.,Either an bike rider jumping ramps on a sunny day or no bike rider is jumping ramps on a sunny day. ,Disjunction
2253,6251875212.jpg#0r1e,An bike rider jumping ramps on a sunny day.,Both an bike rider jumping ramps on a sunny day and no bike rider is jumping ramps on a sunny day. ,Conjunction
2254,6141144133.jpg#0r1e,Two people are in the same area.,Either two people are in the same area or no two people are in the same area. ,Disjunction
2255,6141144133.jpg#0r1e,Two people are in the same area.,Both two people are in the same area and no two people are in the same area. ,Conjunction
2256,3178385265.jpg#2r1e,A child plays with two brooms outside.,Either a child plays with two brooms outside or no child plays with two brooms outside. ,Disjunction
2257,3178385265.jpg#2r1e,A child plays with two brooms outside.,Both a child plays with two brooms outside and no child plays with two brooms outside. ,Conjunction
2258,4960164914.jpg#3r1e,There are two people sitting down.,Either there are two people sitting down or there are not two people sitting down. ,Disjunction
2259,4960164914.jpg#3r1e,There are two people sitting down.,Both there are two people sitting down and there are not two people sitting down. ,Conjunction
2260,3329094415.jpg#1r1e,The man appears to be suspended in midair.,Either the man appears to be suspended in midair or the man does not appear to be suspended in midair. ,Disjunction
2261,3329094415.jpg#1r1e,The man appears to be suspended in midair.,Both the man appears to be suspended in midair and the man does not appear to be suspended in midair. ,Conjunction
2262,2446928343.jpg#0r1e,A woman in a shirt is sitting in a chair with an animated expression on her face.,Either a woman in a shirt is sitting in a chair with an animated expression on her face or no woman in a shirt is sitting in a chair with an animated expression on her face. ,Disjunction
2263,2446928343.jpg#0r1e,A woman in a shirt is sitting in a chair with an animated expression on her face.,Both a woman in a shirt is sitting in a chair with an animated expression on her face and no woman in a shirt is sitting in a chair with an animated expression on her face. ,Conjunction
2264,3736561898.jpg#0r1n,Six men dressed in black and yellow uniforms are standing in a gymnasium.,Either six men dressed in black and yellow uniforms are standing in a gymnasium or no men dressed in black and yellow uniforms are standing in a gymnasium. ,Disjunction
2265,3736561898.jpg#0r1n,Six men dressed in black and yellow uniforms are standing in a gymnasium.,Both six men dressed in black and yellow uniforms are standing in a gymnasium and no men dressed in black and yellow uniforms are standing in a gymnasium. ,Conjunction
2266,6012139090.jpg#3r1e,Band performing a song on stage.,Either band performing a song on stage or no band is performing a song on stage. ,Disjunction
2267,6012139090.jpg#3r1e,Band performing a song on stage.,Both band performing a song on stage and no band is performing a song on stage. ,Conjunction
2268,327944239.jpg#4r1e,A man in a swamp.,Either a man in a swamp or no man is in a swamp. ,Disjunction
2269,327944239.jpg#4r1e,A man in a swamp.,Both a man in a swamp and no man is in a swamp. ,Conjunction
2270,4698362761.jpg#2r1e,A group of people march in a parade.,Either a group of people march in a parade or no group of people march in a parade. ,Disjunction
2271,4698362761.jpg#2r1e,A group of people march in a parade.,Both a group of people march in a parade and no group of people march in a parade. ,Conjunction
2272,542850900.jpg#1r1e,A boy sits in front of stones.,Either a boy sits in front of stones or no boy sits in front of stones. ,Disjunction
2273,542850900.jpg#1r1e,A boy sits in front of stones.,Both a boy sits in front of stones and no boy sits in front of stones. ,Conjunction
2274,2758599631.jpg#4r1e,Woman resting her head on mans shoulder.,Either woman resting her head on mans shoulder or no woman is resting her head on a man's shoulder. ,Disjunction
2275,2758599631.jpg#4r1e,Woman resting her head on mans shoulder.,Both woman resting her head on mans shoulder and no woman is resting her head on a man's shoulder. ,Conjunction
2276,4804949713.jpg#2r1e,The man is standing.,Either the man is standing or the man is not standing. ,Disjunction
2277,4804949713.jpg#2r1e,The man is standing.,Both the man is standing and the man is not standing. ,Conjunction
2278,2632429064.jpg#4r1e,Two humans are outdoors.,Either two humans are outdoors or no two humans are outdoors. ,Disjunction
2279,2632429064.jpg#4r1e,Two humans are outdoors.,Both two humans are outdoors and no two humans are outdoors. ,Conjunction
2280,2281254839.jpg#0r1e,The men are older.,Either the men are older or the men are not older. ,Disjunction
2281,2281254839.jpg#0r1e,The men are older.,Both the men are older and the men are not older. ,Conjunction
2282,3141440149.jpg#2r1e,The kitchen is not empty.,Either the kitchen is not empty or the kitchen is empty. ,Disjunction
2283,3141440149.jpg#2r1e,The kitchen is not empty.,Both the kitchen is not empty and the kitchen is empty. ,Conjunction
